code,800,400,200,100,50,40,25,10,1,0.1,throughput,macsec,deepbuffer,type,maxmodules,family,cost
HF6100-60L4D,,,,4.0,,,,,60.0,,,,,fixed,,6000,14520.35448
HF6100-60L4D,,,,,,4.0,,,60.0,,,,,fixed,,6000,14520.35448
HF6100-32D,,32.0,,,,,,,,,,,,fixed,,6000,42525.74822
HF6100-32D,,,32.0,,,,,,,,,,,fixed,,6000,42525.74822
HF6100-32D,,,,32.0,,,,,,,,,,fixed,,6000,42525.74822
HF6100-32D,,,,,,32.0,,,,,,,,fixed,,6000,42525.74822
HF6100-64ED,64.0,,,,,,,,,,,,,fixed,,6000,182311.8737
HF6100-64ED,,64.0,,,,,,,,,,,,fixed,,6000,182311.8737
HF6100-64ED,,,64.0,,,,,,,,,,,fixed,,6000,182311.8737
HF6100-64ED,,,,64.0,,,,,,,,,,fixed,,6000,182311.8737
93180YC-EX,,,,,,,48.0,,,,,,40 MB,fixed,,9300,3541.781815
93180YC-EX,,,,,,,,48.0,,,,,40 MB,fixed,,9300,3541.781815
93180YC-EX,,,,,,,,,48.0,,,,40 MB,fixed,,9300,3541.781815
93108TC-EX,,,,6.0,,,,48.0,,,,,40 MB,fixed,,9300,3541.781815
93108TC-EX,,,,,,6.0,,48.0,,,,,40 MB,fixed,,9300,3541.781815
93108TC-EX,,,,6.0,,,,,48.0,,,,40 MB,fixed,,9300,3541.781815
93108TC-EX,,,,,,6.0,,,48.0,,,,40 MB,fixed,,9300,3541.781815
93108TC-EX,,,,6.0,,,,,,48.0,,,40 MB,fixed,,9300,3541.781815
93108TC-EX,,,,,,6.0,,,,48.0,,,40 MB,fixed,,9300,3541.781815
93180LC-EX,,,,18.0,,,,,,,,,40 MB,fixed,,9300,3541.781815
93180LC-EX,,,,,32.0,,,,,,,,40 MB,fixed,,9300,3541.781815
93180LC-EX,,,,,,32.0,,,,,,,40 MB,fixed,,9300,3541.781815
93400LD-H1,,4.0,,,48.0,,,,,,,x,40 MB,fixed,,9300,12538.4683
9332D-H2R,,32.0,,,,,,,,,,x,80 MB,fixed,,9300,42525.74822
9364D-GX2A,,64.0,,,,,,2.0,,,51.2 Tbps,16_400,120 MB,fixed,,9300,88123.0616
9364D-GX2A,,64.0,,,,,,,2.0,,51.2 Tbps,16_401,120 MB,fixed,,9300,88123.0616
9364D-GX2A,,,128.0,,,,,2.0,,,51.2 Tbps,16_402,120 MB,fixed,,9300,88123.0616
9364D-GX2A,,,128.0,,,,,,2.0,,51.2 Tbps,16_403,120 MB,fixed,,9300,88123.0616
9364D-GX2A,,,,256.0,,,,2.0,,,51.2 Tbps,16_404,120 MB,fixed,,9300,88123.0616
9364D-GX2A,,,,256.0,,,,,2.0,,51.2 Tbps,16_405,120 MB,fixed,,9300,88123.0616
9364D-GX2A,,,,,256.0,,,2.0,,,51.2 Tbps,16_406,120 MB,fixed,,9300,88123.0616
9364D-GX2A,,,,,256.0,,,,2.0,,51.2 Tbps,16_407,120 MB,fixed,,9300,88123.0616
9364D-GX2A,,,,,,,256.0,2.0,,,51.2 Tbps,16_408,120 MB,fixed,,9300,88123.0616
9364D-GX2A,,,,,,,256.0,,2.0,,51.2 Tbps,16_409,120 MB,fixed,,9300,88123.0616
9364D-GX2A,,,,,,,,258.0,,,51.2 Tbps,16_410,120 MB,fixed,,9300,88123.0616
9364D-GX2A,,,,,,,,256.0,2.0,,51.2 Tbps,16_400,120 MB,fixed,,9300,88123.0616
9348D-GX2A,,48.0,,,,,,2.0,,,38.4 Tbps,x,120 MB,fixed,,9300,88123.0616
9348D-GX2A,,48.0,,,,,,,2.0,,38.4 Tbps,x,120 MB,fixed,,9300,88123.0616
9348D-GX2A,,,96.0,,,,,2.0,,,38.4 Tbps,x,120 MB,fixed,,9300,88123.0616
9348D-GX2A,,,96.0,,,,,,2.0,,38.4 Tbps,x,120 MB,fixed,,9300,88123.0616
9348D-GX2A,,,,192.0,,,,2.0,,,38.4 Tbps,x,120 MB,fixed,,9300,88123.0616
9348D-GX2A,,,,192.0,,,,,2.0,,38.4 Tbps,x,120 MB,fixed,,9300,88123.0616
9348D-GX2A,,,,,192.0,,,2.0,,,38.4 Tbps,x,120 MB,fixed,,9300,88123.0616
9348D-GX2A,,,,,192.0,,,,2.0,,38.4 Tbps,x,120 MB,fixed,,9300,88123.0616
9348D-GX2A,,,,,,,192.0,2.0,,,38.4 Tbps,x,120 MB,fixed,,9300,88123.0616
9348D-GX2A,,,,,,,192.0,,2.0,,38.4 Tbps,x,120 MB,fixed,,9300,88123.0616
9348D-GX2A,,,,,,,,194.0,,,38.4 Tbps,x,120 MB,fixed,,9300,88123.0616
9348D-GX2A,,,,,,,,192.0,2.0,,38.4 Tbps,x,120 MB,fixed,,9300,88123.0616
9332D-GX2B,,32.0,,,,,,2.0,,,25.6 Tbps,8_400,120 MB,fixed,,9300,42595.51975
9332D-GX2B,,32.0,,,,,,,2.0,,25.6 Tbps,8_400,120 MB,fixed,,9300,42595.51975
9332D-GX2B,,,64.0,,,,,2.0,,,25.6 Tbps,8_400,120 MB,fixed,,9300,42595.51975
9332D-GX2B,,,64.0,,,,,,2.0,,25.6 Tbps,8_400,120 MB,fixed,,9300,42595.51975
9332D-GX2B,,,,128.0,,,,2.0,,,25.6 Tbps,8_400,120 MB,fixed,,9300,42595.51975
9332D-GX2B,,,,128.0,,,,,2.0,,25.6 Tbps,8_400,120 MB,fixed,,9300,42595.51975
9332D-GX2B,,,,,128.0,,,2.0,,,25.6 Tbps,8_400,120 MB,fixed,,9300,42595.51975
9332D-GX2B,,,,,128.0,,,,2.0,,25.6 Tbps,8_400,120 MB,fixed,,9300,42595.51975
9332D-GX2B,,,,,,,128.0,2.0,,,25.6 Tbps,8_400,120 MB,fixed,,9300,42595.51975
9332D-GX2B,,,,,,,128.0,,2.0,,25.6 Tbps,8_400,120 MB,fixed,,9300,42595.51975
9332D-GX2B,,,,,,,,130.0,,,25.6 Tbps,8_400,120 MB,fixed,,9300,42595.51975
9332D-GX2B,,,,,,,,128.0,2.0,,25.6 Tbps,8_400,120 MB,fixed,,9300,42595.51975
N9K-C9316D-GX,,16.0,,,,,,,,,12.8 Tbps,,80 MB,fixed,,9300,20538.58256
N9K-C9316D-GX,,,32.0,,,,,,,,12.8 Tbps,,80 MB,fixed,,9300,20538.58256
N9K-C9316D-GX,,,,64.0,,,,,,,12.8 Tbps,,80 MB,fixed,,9300,20538.58256
N9K-C9316D-GX,,,,,128.0,,,,,,12.8 Tbps,,80 MB,fixed,,9300,20538.58256
N9K-C9316D-GX,,,,,,,64.0,,,,12.8 Tbps,,80 MB,fixed,,9300,20538.58256
N9K-C9316D-GX,,,,,,,,64.0,,,12.8 Tbps,,80 MB,fixed,,9300,20538.58256
N9K-C93600CD-GX,,8.0,,28.0,,,,,,,12 Tbps,,80 MB,fixed,,9300,19192.88709
N9K-C93600CD-GX,,,,60.0,,,,,,,12 Tbps,,80 MB,fixed,,9300,19192.88709
N9K-C93600CD-GX,,,,28.0,16.0,,,,,,12 Tbps,,80 MB,fixed,,9300,19192.88709
N9K-C93600CD-GX,,,,28.0,,,32.0,,,,12 Tbps,,80 MB,fixed,,9300,19192.88709
N9K-C93600CD-GX,,,,28.0,,,,32.0,,,12 Tbps,,80 MB,fixed,,9300,19192.88709
N9K-C93600CD-GX,,8.0,,,56.0,,,,,,12 Tbps,,80 MB,fixed,,9300,19192.88709
N9K-C93600CD-GX,,,,32.0,56.0,,,,,,12 Tbps,,80 MB,fixed,,9300,19192.88709
N9K-C93600CD-GX,,,,,72.0,,,,,,12 Tbps,,80 MB,fixed,,9300,19192.88709
N9K-C93600CD-GX,,,,,56.0,,32.0,,,,12 Tbps,,80 MB,fixed,,9300,19192.88709
N9K-C93600CD-GX,,,,,56.0,,,32.0,,,12 Tbps,,80 MB,fixed,,9300,19192.88709
N9K-C93600CD-GX,,8.0,,,,,64.0,,,,12 Tbps,,80 MB,fixed,,9300,19192.88709
N9K-C93600CD-GX,,,,32.0,,,64.0,,,,12 Tbps,,80 MB,fixed,,9300,19192.88709
N9K-C93600CD-GX,,,,,16.0,,64.0,,,,12 Tbps,,80 MB,fixed,,9300,19192.88709
N9K-C93600CD-GX,,,,,,,96.0,,,,12 Tbps,,80 MB,fixed,,9300,19192.88709
N9K-C93600CD-GX,,,,,,,64.0,32.0,,,12 Tbps,,80 MB,fixed,,9300,19192.88709
N9K-C93600CD-GX,,8.0,,,,,,64.0,,,12 Tbps,,80 MB,fixed,,9300,19192.88709
N9K-C93600CD-GX,,,,32.0,,,,64.0,,,12 Tbps,,80 MB,fixed,,9300,19192.88709
N9K-C93600CD-GX,,,,,16.0,,,64.0,,,12 Tbps,,80 MB,fixed,,9300,19192.88709
N9K-C93600CD-GX,,,,,,,32.0,64.0,,,12 Tbps,,80 MB,fixed,,9300,19192.88709
N9K-C93600CD-GX,,,,,,,,96.0,,,12 Tbps,,80 MB,fixed,,9300,19192.88709
N9K-C9364C-GX,,,,64.0,,,,,,,12.8 Tbps,,80 MB,fixed,,9300,20538.58256
N9K-C9364C-GX,,,,,128.0,,,,,,12.8 Tbps,,80 MB,fixed,,9300,20538.58256
N9K-C9364C-GX,,,,,,,192.0,,,,12.8 Tbps,,80 MB,fixed,,9300,20538.58256
N9K-C9364C-GX,,,,,,,,192.0,,,12.8 Tbps,,80 MB,fixed,,9300,20538.58256
93180YC-FX3,,,,6.0,,,48.0,,,,3.6 Tbps,x,40 MB,fixed,,9300,5421.477077
93180YC-FX3,,,,6.0,,,,48.0,,,3.6 Tbps,x,40 MB,fixed,,9300,5421.477077
93180YC-FX3,,,,6.0,,,,,48.0,,3.6 Tbps,x,40 MB,fixed,,9300,5421.477077
93180YC-FX3,,,,,,6.0,48.0,,,,3.6 Tbps,x,40 MB,fixed,,9300,5421.477077
93180YC-FX3,,,,,,6.0,,48.0,,,3.6 Tbps,x,40 MB,fixed,,9300,5421.477077
93180YC-FX3,,,,,,6.0,,,48.0,,3.6 Tbps,x,40 MB,fixed,,9300,5421.477077
93108TC-FX3,,,,6.0,,,,48.0,,, 2.16 Tbps,x,40 MB,fixed,,9300,5421.477077
93108TC-FX3,,,,6.0,,,,,48.0,, 2.16 Tbps,x,40 MB,fixed,,9300,5421.477077
93108TC-FX3,,,,6.0,,,,,,48.0, 2.16 Tbps,x,40 MB,fixed,,9300,5421.477077
93108TC-FX3,,,,,,6.0,,48.0,,, 2.16 Tbps,x,40 MB,fixed,,9300,5421.477077
93108TC-FX3,,,,,,6.0,,,48.0,, 2.16 Tbps,x,40 MB,fixed,,9300,5421.477077
93108TC-FX3,,,,,,6.0,,,,48.0, 2.16 Tbps,x,40 MB,fixed,,9300,5421.477077
93108TC-FX3P,,,,6.0,,,,48.0,,, 2.16 Tbps,x,40 MB,fixed,,9300,3170.855409
93108TC-FX3P,,,,6.0,,,,,48.0,, 2.16 Tbps,x,40 MB,fixed,,9300,3170.855409
93108TC-FX3P,,,,6.0,,,,,,48.0, 2.16 Tbps,x,40 MB,fixed,,9300,3170.855409
93108TC-FX3P,,,,,,6.0,,48.0,,, 2.16 Tbps,x,40 MB,fixed,,9300,3170.855409
93108TC-FX3P,,,,,,6.0,,,48.0,, 2.16 Tbps,x,40 MB,fixed,,9300,3170.855409
93108TC-FX3P,,,,,,6.0,,,,48.0, 2.16 Tbps,x,40 MB,fixed,,9300,3170.855409
9348GC-FX3,,,,2.0,,,4.0,48.0,,,0.696 Tbps,x,40 MB,fixed,,9300,2253.101871
9348GC-FX3,,,,2.0,,,4.0,,48.0,,0.696 Tbps,x,40 MB,fixed,,9300,2253.101871
9348GC-FX3,,,,2.0,,,4.0,,,48.0,0.696 Tbps,x,40 MB,fixed,,9300,2253.101871
9348GC-FX3,,,,2.0,,,,52.0,,,0.696 Tbps,x,40 MB,fixed,,9300,2253.101871
9348GC-FX3,,,,2.0,,,,4.0,48.0,,0.696 Tbps,x,40 MB,fixed,,9300,2253.101871
9348GC-FX3,,,,2.0,,,,4.0,,48.0,0.696 Tbps,x,40 MB,fixed,,9300,2253.101871
9348GC-FX3,,,,2.0,,,,48.0,4.0,,0.696 Tbps,x,40 MB,fixed,,9300,2253.101871
9348GC-FX3,,,,2.0,,,,,52.0,,0.696 Tbps,x,40 MB,fixed,,9300,2253.101871
9348GC-FX3,,,,2.0,,,,,4.0,48.0,0.696 Tbps,x,40 MB,fixed,,9300,2253.101871
9348GC-FX3,,,,2.0,,,,48.0,,4.0,0.696 Tbps,x,40 MB,fixed,,9300,2253.101871
9348GC-FX3,,,,2.0,,,,,48.0,52.0,0.696 Tbps,x,40 MB,fixed,,9300,2253.101871
9348GC-FX3,,,,2.0,,,,,,52.0,0.696 Tbps,x,40 MB,fixed,,9300,2253.101871
9348GC-FX3,,,,,,2.0,4.0,48.0,,,0.696 Tbps,x,40 MB,fixed,,9300,2253.101871
9348GC-FX3,,,,,,2.0,4.0,,48.0,,0.696 Tbps,x,40 MB,fixed,,9300,2253.101871
9348GC-FX3,,,,,,2.0,4.0,,,48.0,0.696 Tbps,x,40 MB,fixed,,9300,2253.101871
9348GC-FX3,,,,,,2.0,,52.0,,,0.696 Tbps,x,40 MB,fixed,,9300,2253.101871
9348GC-FX3,,,,,,2.0,,4.0,48.0,,0.696 Tbps,x,40 MB,fixed,,9300,2253.101871
9348GC-FX3,,,,,,2.0,,4.0,,48.0,0.696 Tbps,x,40 MB,fixed,,9300,2253.101871
9348GC-FX3,,,,,,2.0,,48.0,4.0,,0.696 Tbps,x,40 MB,fixed,,9300,2253.101871
9348GC-FX3,,,,,,2.0,,,52.0,,0.696 Tbps,x,40 MB,fixed,,9300,2253.101871
9348GC-FX3,,,,,,2.0,,,4.0,48.0,0.696 Tbps,x,40 MB,fixed,,9300,2253.101871
9348GC-FX3,,,,,,2.0,,48.0,,4.0,0.696 Tbps,x,40 MB,fixed,,9300,2253.101871
9348GC-FX3,,,,,,2.0,,,48.0,52.0,0.696 Tbps,x,40 MB,fixed,,9300,2253.101871
9348GC-FX3,,,,,,2.0,,,,52.0,0.696 Tbps,x,40 MB,fixed,,9300,2253.101871
9348GC-FX3PH,,,,2.0,,,4.0,,40.0,8.0,0.696 Tbps,x,40 MB,fixed,,9300,944.5089136
9348GC-FX3PH,,,,2.0,,,4.0,,,48.0,0.696 Tbps,x,40 MB,fixed,,9300,944.5089136
9348GC-FX3PH,,,,2.0,,,,4.0,40.0,8.0,0.696 Tbps,x,40 MB,fixed,,9300,944.5089136
9348GC-FX3PH,,,,2.0,,,,4.0,,48.0,0.696 Tbps,x,40 MB,fixed,,9300,944.5089136
9348GC-FX3PH,,,,2.0,,,,,44.0,8.0,0.696 Tbps,x,40 MB,fixed,,9300,944.5089136
9348GC-FX3PH,,,,2.0,,,,,44.0,48.0,0.696 Tbps,x,40 MB,fixed,,9300,944.5089136
9348GC-FX3PH,,,,,,2.0,4.0,,40.0,8.0,0.696 Tbps,x,40 MB,fixed,,9300,944.5089136
9348GC-FX3PH,,,,,,2.0,4.0,,,48.0,0.696 Tbps,x,40 MB,fixed,,9300,944.5089136
9348GC-FX3PH,,,,,,2.0,,4.0,40.0,8.0,0.696 Tbps,x,40 MB,fixed,,9300,944.5089136
9348GC-FX3PH,,,,,,2.0,,4.0,,48.0,0.696 Tbps,x,40 MB,fixed,,9300,944.5089136
9348GC-FX3PH,,,,,,2.0,,,44.0,8.0,0.696 Tbps,x,40 MB,fixed,,9300,944.5089136
